#description: MAxO therapeutic annotations for rare diseases
#date: 2023-07-13
#tracker: https://github.com/monarch-initiative/MAxO/issues
disease_id	disease_name	citation	maxo_id	maxo_label	hpo_id	maxo_relation	evidence_code	extension_id	extension_label	attribute	creator	last_update	created_on
MONDO:0008854	Bardet-biedl Syndrome 1	PMID:20301537	MAXO:0000088	dietary intervention	HP:0000819	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-01-06
MONDO:0008854	Bardet-biedl Syndrome 1	PMID:20301537	MAXO:0000011	physical therapy	HP:0002141	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-01-06
MONDO:0008854	Bardet-biedl Syndrome 1	PMID:20301537	MAXO:0000930	speech therapy	HP:0000750	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-01-06
MONDO:0008854	Bardet-biedl Syndrome 1	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-01-06
MONDO:0021056	Adenomatous Polyposis Coli	https://www.ncbi.nlm.nih.gov/books/NBK1345/	MAXO:0001110	tumorectomy	HP:0100245	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-04-06	2022-01-25
MONDO:0021056	Adenomatous Polyposis Coli	https://www.ncbi.nlm.nih.gov/books/NBK1345/	MAXO:0000885	surgical removal procedure	HP:0030731	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-04-06	2022-01-26
MONDO:0021056	Adenomatous Polyposis Coli	https://www.ncbi.nlm.nih.gov/books/NBK1345/	MAXO:0000885	surgical removal procedure	HP:0004394	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-02-04	2022-01-26
MONDO:0021056	Adenomatous Polyposis Coli	https://www.ncbi.nlm.nih.gov/books/NBK1345/	MAXO:0000885	surgical removal procedure	HP:0006722	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-02-04	2022-01-26
MONDO:0009367	Mckusick-kaufman Syndrome	PMID:20301675	MAXO:0000004	surgical procedure	HP:0030010	TREATS	TAS				ORCID:0000-0001-5208-3432	2023-01-31	2022-02-10
MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive	PMID:20301556	MAXO:0000011	physical therapy	HP:0002355	PREVENTS	TAS				ORCID:0000-0002-4142-7153	2022-02-14	2022-02-14
MONDO:0014432	Bardet-biedl Syndrome 2	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-02-15
MONDO:0014432	Bardet-biedl Syndrome 2	PMID:20301537	MAXO:0000088	dietary intervention	HP:0000819	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-02-15
MONDO:0010832	Bardet-biedl Syndrome 3	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-02-04	2022-02-15
MONDO:0014433	Bardet-biedl Syndrome 4	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-02-07	2022-02-15
MONDO:0011523	Bardet-biedl Syndrome 6	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-02-04	2022-02-15
MONDO:0014435	Bardet-biedl Syndrome 7	PMID:20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	TAS				ORCID:0000-0001-7941-2961	2023-01-31	2022-02-15
